t,X,Y,Z
8.399999999999999689e-01,-8.282242096574426782e+00,-9.526698988584310968e+00,2.572934291141466545e+01
8.499999999999999778e-01,-8.405042075424669079e+00,-9.615907153294079635e+00,2.584046447321772533e+01
8.599999999999999867e-01,-8.524259092111480030e+00,-9.696868343794291079e+00,2.596721079224687756e+01
8.699999999999999956e-01,-8.639373302434018242e+00,-9.768024420168446298e+00,2.610824011296769598e+01
8.800000000000000044e-01,-8.749770320392176615e+00,-9.827909763764003159e+00,2.626202110568761583e+01
8.900000000000000133e-01,-8.854760340186819789e+00,-9.875178888428763457e+00,2.642683313175804471e+01
9.000000000000000222e-01,-8.953598143984732971e+00,-9.908635511416107988e+00,2.660077260973961444e+01
9.100000000000000311e-01,-9.045504001927362481e+00,-9.927262053988531676e+00,2.678176594061501348e+01
9.200000000000000400e-01,-9.129685362491436251e+00,-9.930248347065990799e+00,2.696758924345430586e+01
9.300000000000000488e-01,-9.205359117021586712e+00,-9.917018173388663982e+00,2.715589488273942465e+01
9.400000000000000577e-01,-9.271774108422109251e+00,-9.887252204520667220e+00,2.734424444686529654e+01
9.500000000000000666e-01,-9.328233448176044718e+00,-9.840905905981712110e+00,2.753014748316473614e+01
9.599999999999999645e-01,-9.374116116314477054e+00,-9.778221098970568903e+00,2.771110493352502857e+01
9.699999999999999734e-01,-9.408897253954455309e+00,-9.699730086842924592e+00,2.788465587633623599e+01
9.799999999999999822e-01,-9.432166524989712642e+00,-9.606251573264268373e+00,2.804842589718400703e+01
9.899999999999999911e-01,-9.443643928141927546e+00,-9.498878000618494966e+00,2.820017521292276896e+01
1.000000000000000000e+00,-9.443192485965104410e+00,-9.378954395410614708e+00,2.833784458673752127e+01
1.010000000000000009e+00,-9.430827323415273966e+00,-9.248049287376064242e+00,2.845959711173488671e+01
1.020000000000000018e+00,-9.406720771569137440e+00,-9.107918731221344544e+00,2.856385411192808377e+01
1.030000000000000027e+00,-9.371203284837944736e+00,-8.960464864291084908e+00,2.864932370345288959e+01
1.040000000000000036e+00,-9.324760132453631556e+00,-8.807690744190434629e+00,2.871502095391585740e+01
1.050000000000000044e+00,-9.268024004926642689e+00,-8.651653400405631800e+00,2.876027904173199445e+01
1.060000000000000053e+00,-9.201763850556496038e+00,-8.494417088227763202e+00,2.878475131102167595e+01
