t,X,Y,Z
1.030000000000000027e+00,-9.373745528575330610e+00,-8.962121846562734362e+00,2.865352926299960501e+01
1.040000000000000036e+00,-9.327197155466809164e+00,-8.808911291172801583e+00,2.871946716273403055e+01
1.050000000000000044e+00,-9.270323584790110871e+00,-8.652424196432274783e+00,2.876490384708385051e+01
1.060000000000000053e+00,-9.203895923807390744e+00,-8.494732237342967451e+00,2.878949150192568496e+01
1.070000000000000062e+00,-9.128807567487744024e+00,-8.337869463151045935e+00,2.879319704798420076e+01
1.080000000000000071e+00,-9.046056959531096453e+00,-8.183791264967876344e+00,2.877628746532983328e+01
1.090000000000000080e+00,-8.956728332368088630e+00,-8.034338570671218704e+00,2.873930832288998261e+01
1.100000000000000089e+00,-8.861971168338563132e+00,-7.891208285059825300e+00,2.868305692759244607e+01
1.110000000000000098e+00,-8.762979130585467402e+00,-7.755930579117709556e+00,2.860855164109126392e+01
1.120000000000000107e+00,-8.660969178346217490e+00,-7.629853220002139835e+00,2.851699893290793852e+01
1.130000000000000115e+00,-8.557161512839352113e+00,-7.514132754223494359e+00,2.840975965928041447e+01
1.140000000000000124e+00,-8.452760904507385931e+00,-7.409732034589795902e+00,2.828831589653866985e+01
1.150000000000000133e+00,-8.348939838824939841e+00,-7.317423332444541018e+00,2.815423944017872415e+01
1.159999999999999920e+00,-8.246823795268710455e+00,-7.237796107368059673e+00,2.800916283082918312e+01
1.169999999999999929e+00,-8.147478850823251406e+00,-7.171268415768659921e+00,2.785475350918724757e+01
1.179999999999999938e+00,-8.051901682788704662e+00,-7.118100920287589339e+00,2.769269145327660553e+01
1.189999999999999947e+00,-7.961011941274382053e+00,-7.078412501991412142e+00,2.752465042775343562e+01
1.199999999999999956e+00,-7.875646873443331586e+00,-7.052196562944608615e+00,2.735228278597129759e+01
1.209999999999999964e+00,-7.796558011423574186e+00,-7.039337223475399696e+00,2.717720761571834842e+01
1.219999999999999973e+00,-7.724409684385752151e+00,-7.039624752737044133e+00,2.700100190940992206e+01
1.229999999999999982e+00,-7.659779081913793419e+00,-7.052769711403223063e+00,2.682519436633980092e+01
1.239999999999999991e+00,-7.603157578849419451e+00,-7.078415422341374885e+00,2.665126139354300605e+01
1.250000000000000000e+00,-7.554953029063649517e+00,-7.116148512305596974e+00,2.648062485696164359e+01
1.260000000000000009e+00,-7.515492744595615449e+00,-7.165507380979776464e+00,2.631465113970160630e+01
1.270000000000000018e+00,-7.485026894753089799e+00,-7.225988551141090177e+00,2.615465108332475452e+01
1.280000000000000027e+00,-7.463732084688019519e+00,-7.297050935108617686e+00,2.600188041619951917e+01
1.290000000000000036e+00,-7.451714902518241423e+00,-7.378118119095876892e+00,2.585754030579364127e+01
1.300000000000000044e+00,-7.449015256490425507e+00,-7.468578820575851651e+00,2.572277770639250605e+01
1.310000000000000053e+00,-7.455609357579510821e+00,-7.567785716760412562e+00,2.559868520810733017e+01
1.320000000000000062e+00,-7.471412237284488889e+00,-7.675052877431224552e+00,2.548630012624641594e+01
1.330000000000000071e+00,-7.496279724542191047e+00,-7.789652065184788476e+00,2.538660260209202946e+01
1.340000000000000080e+00,-7.530009839265750848e+00,-7.910808192921296111e+00,2.530051251753375041e+01
1.350000000000000089e+00,-7.572343592877159857e+00,-8.037694253904101416e+00,2.522888505813613236e+01
1.360000000000000098e+00,-7.622965218354669226e+00,-8.169426065136331516e+00,2.517250479379825023e+01
1.370000000000000107e+00,-7.681501883845361256e+00,-8.305057190627564978e+00,2.513207818523255455e+01
1.380000000000000115e+00,-7.747522974890274305e+00,-8.443574437037380420e+00,2.510822447022825443e+01
1.390000000000000124e+00,-7.820539060782048857e+00,-8.583894338983283134e+00,2.510146493820610658e+01
1.400000000000000133e+00,-7.900000690371475898e+00,-8.724861072851659571e+00,2.511221066679669178e+01
1.409999999999999920e+00,-7.985297191372606740e+00,-8.865246253162890611e+00,2.514074887145376280e+01
1.419999999999999929e+00,-8.075755674197587552e+00,-9.003751070414770297e+00,2.518722810901681797e+01
1.429999999999999938e+00,-8.170640465538690833e+00,-9.139011219073154280e+00,2.525164267810012930e+01
1.439999999999999947e+00,-8.269153216877192847e+00,-9.269605033655702542e+00,2.533381667116926650e+01
1.449999999999999956e+00,-8.370433947023741439e+00,-9.394065194148854658e+00,2.543338825132408587e+01
1.459999999999999964e+00,-8.473563283529845336e+00,-9.510894274155884176e+00,2.554979484522003830e+01
1.469999999999999973e+00,-8.577566162961741014e+00,-9.618584282100615113e+00,2.568226005410408774e+01
1.479999999999999982e+00,-8.681417232125877348e+00,-9.715640185312610200e+00,2.582978317736576912e+01
1.489999999999999991e+00,-8.784048159064617778e+00,-9.800607209525640684e+00,2.599113230529759377e+01
1.500000000000000000e+00,-8.884357012140856824e+00,-9.872101476598265535e+00,2.616484195688406800e+01
1.510000000000000009e+00,-8.981219796745397943e+00,-9.928843289971791108e+00,2.634921620146321786e+01
1.520000000000000018e+00,-9.073504152214995955e+00,-9.969692114291092366e+00,2.654233809872471639e+01
1.530000000000000027e+00,-9.160085108101657880e+00,-9.993682041319923215e+00,2.674208611186969264e+01
1.540000000000000036e+00,-9.239862682459575538e+00,-1.000005631139803874e+01,2.694615789139026418e+01
1.550000000000000044e+00,-9.311780980744295277e+00,-9.988299293246042154e+00,2.715210149653547589e+01
1.560000000000000053e+00,-9.374848329566381366e+00,-9.958164239967258524e+00,2.735735373127938885e+01
1.570000000000000062e+00,-9.428157863790973536e+00,-9.909695157610089566e+00,2.755928484355549557e+01
1.580000000000000071e+00,-9.470907888169337596e+00,-9.843241260173671847e+00,2.775524840088271361e+01
1.590000000000000080e+00,-9.502421265768710157e+00,-9.759462747307120267e+00,2.794263474855602425e+01
1.600000000000000089e+00,-9.522163053908172969e+00,-9.659327021816242365e+00,2.811892611723133228e+01
1.610000000000000098e+00,-9.529755620983371145e+00,-9.544094943721802338e+00,2.828175121212976606e+01
1.620000000000000107e+00,-9.524990538181707933e+00,-9.415297263490835178e+00,2.842893701665829198e+01
1.630000000000000115e+00,-9.507836648391357670e+00,-9.274701946429848576e+00,2.855855559812422229e+01
